id,capacity,operator,longitude,latitude
node/1848630911,6,Clever,"10,3771983","55,3947688"
node/2302260661,,Clever,"8,7703612","55,3331057"
node/2341632603,,,"9,4734036","55,48983"
node/2530819249,,,"12,4312844","55,733857"
node/2783998965,2,Clever,"10,8402058","55,2972977"
node/2794799502,,,"8,4562048","55,4690173"
node/2894270225,,Aalborg Kommune,"9,9357081","57,0462069"
node/2923093163,8,Tesla Motors Inc.,"10,0556465","56,4337219"
node/2940229266,12,Tesla Motors Inc.,"9,7650187","55,5113021"
node/2991256548,12,Tesla Motors Inc.,"10,0423484","57,4557869"
node/3010069461,2,E-On,"12,6134663","55,6527958"
node/3010069462,2,E-On,"12,6135488","55,6528103"
node/3010069463,2,E-On,"12,5400249","55,6543586"
node/3010069464,2,E-On,"12,539996","55,6543965"
node/3010069465,2,E-On,"12,6054571","55,6606275"
node/3010069466,2,E-On,"12,6054999","55,6606477"
node/3010069467,2,E-On,"12,5176353","55,6627686"
node/3010069468,2,E-On,"12,5176781","55,6628196"
node/3010069469,2,E-On,"12,5177224","55,662875"
node/3010069470,2,E-On,"12,5994515","55,6649434"
node/3010069471,2,E-On,"12,5995153","55,6649631"
node/3010069472,2,E-On,"12,5755286","55,6655165"
node/3010069473,2,E-On,"12,5754478","55,6655502"
node/3010069474,2,E-On,"12,5095864","55,6662619"
node/3010069475,2,E-On,"12,509584","55,6663203"
node/3010069476,2,E-On,"12,5541697","55,6687116"
node/3010069477,2,E-On,"12,5434632","55,6687338"
node/3010069478,2,E-On,"12,5434868","55,6687385"
node/3010069479,2,E-On,"12,5541466","55,6687689"
node/3010069480,2,E-On,"12,5799674","55,6692882"
node/3010069481,2,E-On,"12,5799022","55,6693069"
node/3010069482,2,E-On,"12,58723","55,6701557"
node/3010069483,2,E-On,"12,5871829","55,6701612"
node/3010069484,2,E-On,"12,5691496","55,6708291"
node/3010069485,2,E-On,"12,5691975","55,6708609"
node/3010069486,2,CLEVER,"12,5616084","55,671404"
node/3010069487,2,E-On,"12,5929594","55,6731822"
node/3010069488,2,E-On,"12,5928986","55,6732144"
node/3010069489,2,E-On,"12,583325","55,6753705"
node/3010069490,2,E-On,"12,5832006","55,675399"
node/3010069491,2,E-On,"12,5590364","55,6760708"
node/3010069492,2,E-On,"12,5590482","55,6761111"
node/3010069493,2,E-On,"12,5695499","55,6761443"
node/3010069494,2,E-On,"12,5694308","55,6762016"
node/3010069495,2,CLEVER,"12,561984","55,6763767"
node/3010069496,1,CLEVER,"12,5620002","55,6764427"
node/3010069497,2,CLEVER,"12,5620177","55,6765098"
node/3010069498,2,E-On,"12,5655965","55,6782887"
node/3010069499,2,E-On,"12,5655419","55,6783205"
node/3010069500,1,E-On,"12,5903794","55,6788941"
node/3010069501,1,E-On,"12,5902851","55,6789192"
node/3010069502,1,E-On,"12,5901895","55,6789463"
node/3010069503,2,Lets Go/Delebilfonden,"12,5730545","55,6790635"
node/3010069504,2,E-On,"12,5731212","55,6790783"
node/3010069505,2,E-On,"12,573193","55,6790946"
node/3010069506,2,MoveAbout,"12,5732592","55,6791111"
node/3010069507,2,MoveAbout,"12,5733245","55,6791289"
node/3010069508,2,E-On,"12,5680812","55,6807185"
node/3010069509,2,E-On,"12,5681209","55,6807502"
node/3010069510,2,E-On,"12,5681715","55,680786"
node/3010069511,2,Københavns Kommune,"12,5682445","55,6806851"
